,cif_id,avg_connect_v
1390,40457,3.9011549949646
1396,405346,3.697088003158569
1397,40665,3.1785054206848145
1398,40751,2.881280899047852
1399,408395,4.560442924499512
1400,408396,4.425826072692871
1401,408397,4.364597797393799
1406,409384,3.6143474578857417
1407,409397,2.857800006866455
1414,409636,3.0964999198913574
1415,409657,4.460865497589111
1416,409667,4.085707187652588
1419,41022,3.4545259475708012
1420,41023,3.178674936294556
1421,410714,2.832651376724243
1422,410794,3.106642961502075
1424,410955,2.7093660831451416
1425,411039,2.7361316680908203
1427,411530,4.716069221496582
1429,41186,4.660767078399658
1431,412654,3.2592897415161133
1433,41292,3.44036865234375
1434,41321,3.5127849578857417
1435,413238,4.957123279571533
1436,413257,4.193708896636963
1437,413258,4.191729068756104
1438,413296,3.0894999504089355
1439,413297,2.64790153503418
1440,413298,2.290107250213623
1441,413299,3.0927000045776367
1442,413355,3.580703020095825
1443,413370,2.433586835861206
1444,413587,2.8223605155944824
1446,413966,3.541955709457397
1447,41403,3.931513786315918
1448,414082,4.6699299812316895
1449,41409,2.847518920898437
1450,414241,4.2626309394836435
1451,414242,4.4896979331970215
1452,414243,4.420975208282472
1453,414244,4.260742664337158
1459,41466,4.691259384155273
1461,41468,3.866459846496582
1463,415120,4.120206356048584
1464,415121,4.3063087463378915
1465,415135,3.665345907211304
1469,415265,2.870649099349976
1470,415266,2.9649960994720463
1472,415325,4.306148052215576
1473,415326,4.307147026062012
1474,415327,4.332532405853272
1475,415328,4.318143844604491
1476,415411,4.239438533782959
1477,415556,3.760799884796143
1479,415618,4.8923420906066895
1487,416498,2.6378867626190186
1488,416656,4.709901809692383
1491,416889,4.720393180847168
1493,41691,2.924360752105713
1494,41692,2.90247130393982
1495,416926,3.872643232345581
1496,416927,3.876072645187378
1497,416928,3.8809714317321777
1498,416929,3.8868503570556636
1499,41693,2.920841932296753
1501,417088,2.8689138889312744
1502,417089,3.015803337097168
1504,417653,4.975127220153809
1509,418488,3.1203207969665527
1510,418489,3.3714852333068848
1511,418490,2.833235502243042
1512,418627,4.710885047912598
1516,419137,2.3349316120147705
1518,419577,3.7133305072784415
1519,419595,4.00771427154541
1520,419669,4.316399574279785
1521,419670,4.3148207664489755
1522,419671,4.313589096069337
1523,419672,4.314200878143311
1524,419673,4.312853813171387
1525,419674,4.31266450881958
1526,419675,4.312613010406493
1527,419852,3.1341767311096187
1531,420126,2.993077039718628
1533,420334,4.3729777336120605
1534,420337,4.1147942543029785
1535,420338,4.02034854888916
